Document	gpt-4o-mini	kimi	deepseek
Texte1	-0.2500000000000007	1.0	1.0
Texte2	1.0	0.13461538461538408	1.0
Texte3	0.19999999999999987	0.6874999999999999	1.0
Texte4	0.2880952380952379	0.004629629629629428	0.42857142857142866
Texte5	0.0	0.4791666666666667	0.1666666666666666
Texte6	0.4166666666666666	0.4791666666666667	0.19960474308300422
Texte7	-0.10000000000000014	0.30735930735930767	1.0
Texte8	0.3709150326797386	0.5199999999999996	0.711538461538461
Texte9	0.015837104072398404	0.659090909090909	0.4265232974910394
Texte10	0.0	0.02097902097902123	-0.19999999999999996
Texte11	-0.2500000000000007	0.025974025974025823	1.0
Texte12	0.0	-0.041666666666666706	-0.25
Texte13	0.41096230158730157	1.0	-0.0400291938019308
